"","ID","Authors","Title","Subjects","PMID","Publication Date","Longitudinal","Number of Omics","Purpose","Results","Main Biospecimen Types","Proteome","Metabolome","Lipidome","Transcriptome","Interactome","Genome","Secretome/Cytokine","Immunome/Signature","Epigenomics","Bibliome","Ubiquitinome","Phosphoproteome","Data download","Entry Created Date"
"11",6,"Tomazou, M., et al","Multi-omics data integration and network-based analysis drives a multiplex drug repurposing approach to a shortlist of candidate drugs against COVID-19","Varies across literature and datasets",34009288,"2021/5/1","no",5,"To identify potential drug targets for COVID-19","1. Dexamethasone, remdesivir, and Src tyrosine kinase inhibitors appear to be involved in multiple COVID-19 pathophysiological mechanisms 
2. Specific immunomodulators and anti-inflammatory drugs like dactolisib and methotrexate and inhibitors of histone deacetylase like hydroquinone and vorinostat with potential beneficial effects in their mechanisms of action
3. This multiplex drug repurposing approach, developed and utilized herein specifically for SARS-CoV-2, could offer a rapid mapping and drug prioritization against any pathogen-related disease","Serum","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data have been deposited in the Genome Sequence Archive in BIG Data Centre (https://bigd.big.ac.cn/), Beijing Institute of Genomics (BIG), Chinese Academy of Sciences, under the accession number: CRA002390. GSE147507","2021/9/22"
"12",6,"Tomazou, M., et al","Multi-omics data integration and network-based analysis drives a multiplex drug repurposing approach to a shortlist of candidate drugs against COVID-19","Varies across literature and datasets",34009288,"2021/5/1","no",5,"To identify potential drug targets for COVID-19","1. Dexamethasone, remdesivir, and Src tyrosine kinase inhibitors appear to be involved in multiple COVID-19 pathophysiological mechanisms 
2. Specific immunomodulators and anti-inflammatory drugs like dactolisib and methotrexate and inhibitors of histone deacetylase like hydroquinone and vorinostat with potential beneficial effects in their mechanisms of action
3. This multiplex drug repurposing approach, developed and utilized herein specifically for SARS-CoV-2, could offer a rapid mapping and drug prioritization against any pathogen-related disease","BALF","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data have been deposited in the Genome Sequence Archive in BIG Data Centre (https://bigd.big.ac.cn/), Beijing Institute of Genomics (BIG), Chinese Academy of Sciences, under the accession number: CRA002390. GSE147507","2021/9/22"
"13",6,"Tomazou, M., et al","Multi-omics data integration and network-based analysis drives a multiplex drug repurposing approach to a shortlist of candidate drugs against COVID-19","Varies across literature and datasets",34009288,"2021/5/1","no",5,"To identify potential drug targets for COVID-19","1. Dexamethasone, remdesivir, and Src tyrosine kinase inhibitors appear to be involved in multiple COVID-19 pathophysiological mechanisms 
2. Specific immunomodulators and anti-inflammatory drugs like dactolisib and methotrexate and inhibitors of histone deacetylase like hydroquinone and vorinostat with potential beneficial effects in their mechanisms of action
3. This multiplex drug repurposing approach, developed and utilized herein specifically for SARS-CoV-2, could offer a rapid mapping and drug prioritization against any pathogen-related disease","PBMCs","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data have been deposited in the Genome Sequence Archive in BIG Data Centre (https://bigd.big.ac.cn/), Beijing Institute of Genomics (BIG), Chinese Academy of Sciences, under the accession number: CRA002390. GSE147507","2021/9/22"
"14",6,"Tomazou, M., et al","Multi-omics data integration and network-based analysis drives a multiplex drug repurposing approach to a shortlist of candidate drugs against COVID-19","Varies across literature and datasets",34009288,"2021/5/1","no",5,"To identify potential drug targets for COVID-19","1. Dexamethasone, remdesivir, and Src tyrosine kinase inhibitors appear to be involved in multiple COVID-19 pathophysiological mechanisms 
2. Specific immunomodulators and anti-inflammatory drugs like dactolisib and methotrexate and inhibitors of histone deacetylase like hydroquinone and vorinostat with potential beneficial effects in their mechanisms of action
3. This multiplex drug repurposing approach, developed and utilized herein specifically for SARS-CoV-2, could offer a rapid mapping and drug prioritization against any pathogen-related disease","Cell lines (A549, Calu-3 and NHBE)","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data have been deposited in the Genome Sequence Archive in BIG Data Centre (https://bigd.big.ac.cn/), Beijing Institute of Genomics (BIG), Chinese Academy of Sciences, under the accession number: CRA002390. GSE147507","2021/9/22"
"15",6,"Tomazou, M., et al","Multi-omics data integration and network-based analysis drives a multiplex drug repurposing approach to a shortlist of candidate drugs against COVID-19","Varies across literature and datasets",34009288,"2021/5/1","no",5,"To identify potential drug targets for COVID-19","1. Dexamethasone, remdesivir, and Src tyrosine kinase inhibitors appear to be involved in multiple COVID-19 pathophysiological mechanisms 
2. Specific immunomodulators and anti-inflammatory drugs like dactolisib and methotrexate and inhibitors of histone deacetylase like hydroquinone and vorinostat with potential beneficial effects in their mechanisms of action
3. This multiplex drug repurposing approach, developed and utilized herein specifically for SARS-CoV-2, could offer a rapid mapping and drug prioritization against any pathogen-related disease","Lung sample","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data have been deposited in the Genome Sequence Archive in BIG Data Centre (https://bigd.big.ac.cn/), Beijing Institute of Genomics (BIG), Chinese Academy of Sciences, under the accession number: CRA002390. GSE147507","2021/9/22"
"16",6,"Tomazou, M., et al","Multi-omics data integration and network-based analysis drives a multiplex drug repurposing approach to a shortlist of candidate drugs against COVID-19","Varies across literature and datasets",34009288,"2021/5/1","no",5,"To identify potential drug targets for COVID-19","1. Dexamethasone, remdesivir, and Src tyrosine kinase inhibitors appear to be involved in multiple COVID-19 pathophysiological mechanisms 
2. Specific immunomodulators and anti-inflammatory drugs like dactolisib and methotrexate and inhibitors of histone deacetylase like hydroquinone and vorinostat with potential beneficial effects in their mechanisms of action
3. This multiplex drug repurposing approach, developed and utilized herein specifically for SARS-CoV-2, could offer a rapid mapping and drug prioritization against any pathogen-related disease","Unspecified/Multiple","NaN","NaN","NaN","NaN","PPI","GWAs","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data have been deposited in the Genome Sequence Archive in BIG Data Centre (https://bigd.big.ac.cn/), Beijing Institute of Genomics (BIG), Chinese Academy of Sciences, under the accession number: CRA002390. GSE147507","2021/9/22"
"17",7,"Barh, D., et al","Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs against COVID-19","Varies across literature and datasets",33131530,"2020/10/10","no",4,"To present the biological events associated with SARS-CoV-2 infection and identify appropriate drug targets","1. Viral process, mRNA splicing, cytokine and interferon signaling, and ubiquitin mediated proteolysis are important pathways in SARS-CoV-2 infection
2. SARS-CoV-2 infection shares pathways with Influenza A, Epstein-Barr virus, HTLV-I, Measles, and Hepatitis virus
3. Bacterial, parasitic, and protozoan infection pathways are shared by this virus
4. A total of 50 candidate drugs, including the prophylaxis agents and pathway specific inhibitors are identified against COVID-19
5. Betamethasone, Estrogen, Simvastatin, Hydrocortisone, Tositumomab, Cyclosporin A etc. are among the important drugs
6. Ozone, Nitric oxide, plasma components, and photosensitizer drugs are also identified as possible therapeutic candidates
7. Curcumin, Retinoic acids, Vitamin D, Arsenic, Copper, and Zinc may be the candidate prophylaxis agents","Cell line (Caco-2 cells)","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ebi.ac.uk/pride/archive/projects/PXD018117. https://public.ndexbio.org/#/network/43803262-6d69-11ea-bfdc-0ac135e8bacf","2021/9/22"
"18",7,"Barh, D., et al","Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs against COVID-19","Varies across literature and datasets",33131530,"2020/10/10","no",4,"To present the biological events associated with SARS-CoV-2 infection and identify appropriate drug targets","1. Viral process, mRNA splicing, cytokine and interferon signaling, and ubiquitin mediated proteolysis are important pathways in SARS-CoV-2 infection
2. SARS-CoV-2 infection shares pathways with Influenza A, Epstein-Barr virus, HTLV-I, Measles, and Hepatitis virus
3. Bacterial, parasitic, and protozoan infection pathways are shared by this virus
4. A total of 50 candidate drugs, including the prophylaxis agents and pathway specific inhibitors are identified against COVID-19
5. Betamethasone, Estrogen, Simvastatin, Hydrocortisone, Tositumomab, Cyclosporin A etc. are among the important drugs
6. Ozone, Nitric oxide, plasma components, and photosensitizer drugs are also identified as possible therapeutic candidates
7. Curcumin, Retinoic acids, Vitamin D, Arsenic, Copper, and Zinc may be the candidate prophylaxis agents","BALF","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ebi.ac.uk/pride/archive/projects/PXD018117. https://public.ndexbio.org/#/network/43803262-6d69-11ea-bfdc-0ac135e8bacf","2021/9/22"
"19",7,"Barh, D., et al","Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs against COVID-19","Varies across literature and datasets",33131530,"2020/10/10","no",4,"To present the biological events associated with SARS-CoV-2 infection and identify appropriate drug targets","1. Viral process, mRNA splicing, cytokine and interferon signaling, and ubiquitin mediated proteolysis are important pathways in SARS-CoV-2 infection
2. SARS-CoV-2 infection shares pathways with Influenza A, Epstein-Barr virus, HTLV-I, Measles, and Hepatitis virus
3. Bacterial, parasitic, and protozoan infection pathways are shared by this virus
4. A total of 50 candidate drugs, including the prophylaxis agents and pathway specific inhibitors are identified against COVID-19
5. Betamethasone, Estrogen, Simvastatin, Hydrocortisone, Tositumomab, Cyclosporin A etc. are among the important drugs
6. Ozone, Nitric oxide, plasma components, and photosensitizer drugs are also identified as possible therapeutic candidates
7. Curcumin, Retinoic acids, Vitamin D, Arsenic, Copper, and Zinc may be the candidate prophylaxis agents","PBMCs","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ebi.ac.uk/pride/archive/projects/PXD018117. https://public.ndexbio.org/#/network/43803262-6d69-11ea-bfdc-0ac135e8bacf","2021/9/22"
"20",7,"Barh, D., et al","Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs against COVID-19","Varies across literature and datasets",33131530,"2020/10/10","no",4,"To present the biological events associated with SARS-CoV-2 infection and identify appropriate drug targets","1. Viral process, mRNA splicing, cytokine and interferon signaling, and ubiquitin mediated proteolysis are important pathways in SARS-CoV-2 infection
2. SARS-CoV-2 infection shares pathways with Influenza A, Epstein-Barr virus, HTLV-I, Measles, and Hepatitis virus
3. Bacterial, parasitic, and protozoan infection pathways are shared by this virus
4. A total of 50 candidate drugs, including the prophylaxis agents and pathway specific inhibitors are identified against COVID-19
5. Betamethasone, Estrogen, Simvastatin, Hydrocortisone, Tositumomab, Cyclosporin A etc. are among the important drugs
6. Ozone, Nitric oxide, plasma components, and photosensitizer drugs are also identified as possible therapeutic candidates
7. Curcumin, Retinoic acids, Vitamin D, Arsenic, Copper, and Zinc may be the candidate prophylaxis agents","Cell lines (human lung epithelium-derived cell lines)","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ebi.ac.uk/pride/archive/projects/PXD018117. https://public.ndexbio.org/#/network/43803262-6d69-11ea-bfdc-0ac135e8bacf","2021/9/22"
"21",7,"Barh, D., et al","Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs against COVID-19","Varies across literature and datasets",33131530,"2020/10/10","no",4,"To present the biological events associated with SARS-CoV-2 infection and identify appropriate drug targets","1. Viral process, mRNA splicing, cytokine and interferon signaling, and ubiquitin mediated proteolysis are important pathways in SARS-CoV-2 infection
2. SARS-CoV-2 infection shares pathways with Influenza A, Epstein-Barr virus, HTLV-I, Measles, and Hepatitis virus
3. Bacterial, parasitic, and protozoan infection pathways are shared by this virus
4. A total of 50 candidate drugs, including the prophylaxis agents and pathway specific inhibitors are identified against COVID-19
5. Betamethasone, Estrogen, Simvastatin, Hydrocortisone, Tositumomab, Cyclosporin A etc. are among the important drugs
6. Ozone, Nitric oxide, plasma components, and photosensitizer drugs are also identified as possible therapeutic candidates
7. Curcumin, Retinoic acids, Vitamin D, Arsenic, Copper, and Zinc may be the candidate prophylaxis agents","Unspecified/Multiple","NaN","NaN","NaN","NaN","SARS-CoV-2-human PPI","NaN","NaN","NaN","NaN","yes","NaN","NaN","https://www.ebi.ac.uk/pride/archive/projects/PXD018117. https://public.ndexbio.org/#/network/43803262-6d69-11ea-bfdc-0ac135e8bacf","2021/9/22"
"22",8,"Zhao, Y., et al","Omics study reveals abnormal alterations of breastmilk proteins and metabolites in puerperant women with COVID-19","4 female COVID-19 patients  and 2 healthy controls",33097684,"2020/10/23","no",3,"To determine whether breast milk is affected by COVID-19","Breastfeeding or breast milk with a deficiency of immune-related components may not be beneficial to neonates in establishing an immune defence early in life","Colostrum","bulk","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://static-content.springer.com/esm/art%3A10.1038%2Fs41392-020-00362-w/MediaObjects/41392_2020_362_MOESM3_ESM.xlsx; https://static-content.springer.com/esm/art%3A10.1038%2Fs41392-020-00362-w/MediaObjects/41392_2020_362_MOESM7_ESM.xlsx; https://static-content.springer.com/esm/art%3A10.1038%2Fs41392-020-00362-w/MediaObjects/41392_2020_362_MOESM8_ESM.xlsx","2021/9/22"
"23",9,"Yang, R., et al","Chemical composition and pharmacological mechanism of Qingfei Paidu Decoction and Ma Xing Shi Gan Decoction against Coronavirus Disease 2019 (COVID-19): In silico and experimental study","1 decoction preparation",32360484,"2020/4/29","no",2,"To evaluate the chemical composition and pharmacological mechanisms of the Qingfei Paidu Decoction as a Chinese medicine used for COVID-19 in China","The therapeutic effects of the Qingfei Paidu Decoction against COVID-19 may be attributed to the anti-inflammatory effects of the Ma Xing Shi Gan Decoction","Unspecified/Multiple","NaN","bulk","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project available from the corresponding author upon request. Supplementary materials: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7194979/","2021/9/22"
"24",10,"Gupta, V., et al","Comparative Genomics and Integrated Network Approach Unveiled Undirected Phylogeny Patterns, Co-mutational Hotspots, Functional Crosstalk and Regulatory Interactions in SARS-CoV-2","245 SARS-CoV-2 genomes and varies across literature and datasets",33622851,"2021/2/23","no",2,"To understand the population-specific variations attributed to the high rate of infections in specific geographical regions","1. Rigorous phylogenomic network analysis of complete SARS-CoV-2 genomes inferred five central clades named a (ancestral), b, c, d, and e (subtypes e1 and e2).  Clade d and subclade e2 were found exclusively comprised of U.S. strains. 
2. Host proteins, MYO5A, MYO5B, and MYO5C had maximum interaction with viral proteins (nucleocapsid [N], spike [S], and membrane [M] proteins). Blocking the internalization pathway by inhibiting MYO5 proteins which could be an effective target for COVID-19 treatment. 
3. The functional annotations of the host-pathogen interaction (HPI) network were found to be closely associated with hypoxia and thrombotic conditions, confirming the vulnerability and severity of infection.
4. Screened CpG islands in Nsp1 and N conferring the ability of SARS-CoV-2 to enter and trigger zinc antiviral protein (ZAP) activity inside the host cell.
5. Compositional structural biology results suggested that mutations have a balance of opposing forces affecting pathogenicity suggesting that only a few mutations are effective at the translation level. 
6. Novel HPI analysis and CpG predictions elucidate the proof of concept of hypoxia and thrombotic conditions in several patients. ","SARS-CoV-2 viruses","NaN","NaN","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/virus?SeqType_s=
Nucleotide%20seafood=%20market=%20pneumonia=%20virus,=%20taxid:2697049=&VirusLineage_ss=Severe
%20acute%20respiratory%20syndrome%20coronavirus%202%20(SARS-CoV-2),%20taxid:2697049","2021/9/22"
"25",10,"Gupta, V., et al","Comparative Genomics and Integrated Network Approach Unveiled Undirected Phylogeny Patterns, Co-mutational Hotspots, Functional Crosstalk and Regulatory Interactions in SARS-CoV-2","245 SARS-CoV-2 genomes and varies across literature and datasets",33622851,"2021/2/23","no",2,"To understand the population-specific variations attributed to the high rate of infections in specific geographical regions","1. Rigorous phylogenomic network analysis of complete SARS-CoV-2 genomes inferred five central clades named a (ancestral), b, c, d, and e (subtypes e1 and e2).  Clade d and subclade e2 were found exclusively comprised of U.S. strains. 
2. Host proteins, MYO5A, MYO5B, and MYO5C had maximum interaction with viral proteins (nucleocapsid [N], spike [S], and membrane [M] proteins). Blocking the internalization pathway by inhibiting MYO5 proteins which could be an effective target for COVID-19 treatment. 
3. The functional annotations of the host-pathogen interaction (HPI) network were found to be closely associated with hypoxia and thrombotic conditions, confirming the vulnerability and severity of infection.
4. Screened CpG islands in Nsp1 and N conferring the ability of SARS-CoV-2 to enter and trigger zinc antiviral protein (ZAP) activity inside the host cell.
5. Compositional structural biology results suggested that mutations have a balance of opposing forces affecting pathogenicity suggesting that only a few mutations are effective at the translation level. 
6. Novel HPI analysis and CpG predictions elucidate the proof of concept of hypoxia and thrombotic conditions in several patients. ","Unspecified/Multiple","NaN","NaN","NaN","NaN","Host-pathogen interaction","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/virus?SeqType_s=_x000D_
Nucleotide%20seafood=%20market=%20pneumonia=%20virus,=%20taxid:2697049=&VirusLineage_ss=Severe_x000D_
%20acute%20respiratory%20syndrome%20coronavirus%202%20(SARS-CoV-2),%20taxid:2697049","2021/9/22"
"26",11,"Shen, B., et al","Proteomic and Metabolomic Characterization of COVID-19 Patient Sera","46 COVID-19 patients, and 53 control patients",32492406,"2020/5/28","no",2,"To predict disease severity from serum protein and metabolite levels, and to identify dysregulated pathways that can serve as potential therapeutic targets","1. Performed proteomic and metabolomic profiling of sera from 46 COVID-19 and 53 control individuals
2. Trained a machine learning model using proteomic and metabolomic measurements and validated
3. Identified molecular changes in the sera of COVID-19 patients compared to other groups implicating dysregulation of macrophage, platelet degranulation, complement system pathways, and massive metabolic suppression
4. Revealed characteristic protein and metabolite changes in the sera of severe COVID-19 patients and could be contributed to the selection of potential blood biomarkers for severity evaluation","Serum","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.iprox.org/. Project ID: IPX0002106000 and IPX0002171000","2021/9/22"
"27",12,"Song, J. W., et al","Omics-Driven Systems Interrogation of Metabolic Dysregulation in COVID-19 Pathogenesis","26 healthy controls, 18 mild cases, 19 moderate cases, and 13 severe cases",32610096,"2020/6/24","no",2,"To identify metabolomic and lipidomic markers in patient sera distinguishing severe patients, mild patients, and healthy controls","Monosialodihexosyl ganglioside (GM3)–enriched exosomes may take part in pathological processes related to COVID-19 pathogenesis and presents the largest repository of the plasma lipidome and metabolome distinct for COVID-19","Plasma","NaN","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","http://dx.doi.org/10.17632/6z5zkzb3hv.3","2021/9/22"
