"";"X-feat";"Y-feat";"CorrValue"
"7980";"g.GO:0046777";"p.CCNE1";0,605293485129379
"27746";"g.NCOA7";"p.GO:0007165";-0,603401652849987
"31081";"g.STC2";"p.GO:0045944";0,603023613455717
"27682";"g.CSRP2";"p.GO:0007165";-0,602289352221367
"25308";"g.GO:0046777";"p.GO:0000122";-0,601021745832302
"7786";"g.ZNF552";"p.CCNE1";-0,600816589451197
"2507";"g.GO:0045944";"p.ASNS";0,599729795327748
"25183";"g.TTC39A";"p.GO:0000122";0,598861508774114
"15766";"g.ZNF552";"p.PRKCD";-0,597883125972744
"23062";"g.ZNF552";"p.EEF2";-0,597787973728382
"5927";"g.GO:0045944";"p.CDK1";0,597736875422753
"5816";"g.FMNL2";"p.CDK1";0,597181328360851
"7469";"g.MEX3A";"p.CCNB1";0,596681369828802
"5803";"g.TTC39A";"p.CDK1";-0,595913723083256
"24532";"g.CCNA2";"p.TP53";0,595509554718222
"2408";"g.E2F1";"p.ASNS";0,5952754033124
"4560";"g.GO:0046777";"p.BECN1";0,594992838431382
"31069";"g.C4orf34";"p.GO:0045944";0,594387645934686
"2383";"g.TTC39A";"p.ASNS";-0,593763709223687
"14398";"g.ZNF552";"p.CDH3";-0,592499722177551
"23053";"g.KDM4B";"p.EEF2";-0,592183805846038
"7523";"g.GO:0045944";"p.CCNB1";0,592084973164111
"26551";"g.TTC39A";"p.GO:0006366";0,591619165848605
"9118";"g.GO:0045893";"p.ESR1";-0,590872275045659
"24614";"g.GO:0016032";"p.TP53";0,590519404276784
"7408";"g.NTN4";"p.CCNB1";-0,590081576941175
"25141";"g.C4orf34";"p.GO:0000122";0,589493349428736
"6840";"g.GO:0046777";"p.CHEK2";0,588891588825298
"5918";"g.GO:0016032";"p.CDK1";0,588848592857625
"8920";"g.MED13L";"p.ESR1";0,587619589318887
"16416";"g.GO:0046777";"p.AKT1S1";0,587012271769736
"26549";"g.SLC43A3";"p.GO:0006366";-0,586695906794832
"2396";"g.FMNL2";"p.ASNS";0,585913288786056
"25307";"g.GO:0045944";"p.GO:0000122";-0,585672396634115
"27661";"g.STC2";"p.GO:0007165";0,585493173978254
"31166";"g.NCOA7";"p.GO:0045944";-0,58536184895603
"2433";"g.LMO4";"p.ASNS";0,583609779468602
"2341";"g.C4orf34";"p.ASNS";-0,583239489196502
"2445";"g.PREX1";"p.ASNS";-0,583166683578221
"6148";"g.GO:0018108";"p.CASP7";0,583143812424325
"4497";"g.PREX1";"p.BECN1";-0,582970468920755
"26510";"g.LRIG1";"p.GO:0006366";0,582672084199839
"14161";"g.KDM4B";"p.NOTCH1";-0,582578776695966
"10066";"g.ZNF552";"p.GATA3";0,582205807528204
"6830";"g.GO:0016032";"p.CHEK2";0,582159107301553
"27783";"g.SEMA3C";"p.GO:0007165";0,582096421215716
"1761";"g.PREX1";"p.ANLN";-0,581828276523708
"30805";"g.KDM4B";"p.GO:0045893";0,581128892564065
"8953";"g.C4orf34";"p.ESR1";0,581046356044489
"20292";"g.GO:0046777";"p.SYK";0,580984760257865
"7979";"g.GO:0045944";"p.CCNE1";0,580535439981972
"9050";"g.NCOA7";"p.ESR1";-0,580491076444079
"26521";"g.STC2";"p.GO:0006366";0,580277086290755
"14170";"g.ZNF552";"p.NOTCH1";-0,580189771292418
"16222";"g.ZNF552";"p.AKT1S1";-0,579766318122502
"6748";"g.CCNA2";"p.CHEK2";0,579698611663035
"25142";"g.LRIG1";"p.GO:0000122";0,578876026357769
"23256";"g.GO:0046777";"p.EEF2";0,578294361888147
"9065";"g.MEX3A";"p.ESR1";-0,577854019061038
"27761";"g.MEX3A";"p.GO:0007165";-0,577602002882781
"26542";"g.CSRP2";"p.GO:0006366";-0,577433648246526
"26675";"g.GO:0045944";"p.GO:0006366";-0,576332242756347
"7972";"g.GO:0018108";"p.CCNE1";0,576158095004792
"5794";"g.CSRP2";"p.CDK1";0,576028477406032
"25216";"g.CCNA2";"p.GO:0000122";-0,575915575537426
"15897";"g.PREX1";"p.PRKCD";-0,575735396015569
"2305";"g.KDM4B";"p.ASNS";-0,575389750292051
"7855";"g.TTC39A";"p.CCNE1";-0,575190468620856
"14584";"g.GO:0018108";"p.CDH3";0,574994419648754
"31036";"g.MED13L";"p.GO:0045944";0,574778927996455
"31144";"g.CCNA2";"p.GO:0045944";-0,57476367260072
"20317";"g.KDM4B";"p.TGM1";-0,574426718795876
"8916";"g.ASPM";"p.ESR1";-0,573805679219499
"31032";"g.ASPM";"p.GO:0045944";-0,573755018183107
"16289";"g.SLC43A3";"p.AKT1S1";0,573752010916508
"5762";"g.LRIG1";"p.CDK1";-0,573524523750922
"27750";"g.RUNX3";"p.GO:0007165";-0,573365554103192
"23129";"g.SLC43A3";"p.EEF2";0,57326412984072
"6713";"g.SLC43A3";"p.CHEK2";0,57274408022292
"5873";"g.MEX3A";"p.CDK1";0,571624156464417
"10057";"g.KDM4B";"p.GATA3";0,571405744708986
"31050";"g.FUT8";"p.GO:0045944";0,570751322977932
"23193";"g.PREX1";"p.EEF2";-0,570492469336462
"12793";"g.KDM4B";"p.LCK";-0,570401740919685
"31181";"g.MEX3A";"p.GO:0045944";-0,570169701235538
"25233";"g.LMO4";"p.GO:0000122";-0,570166447381464
"1697";"g.SLC43A3";"p.ANLN";0,569830519407555
"9028";"g.CCNA2";"p.ESR1";-0,56930741345873
"31234";"g.GO:0045893";"p.GO:0045944";-0,569158413231777
"7868";"g.FMNL2";"p.CCNE1";0,56871770073365
"7880";"g.E2F1";"p.CCNE1";0,568618493667332
"7917";"g.PREX1";"p.CCNE1";-0,567786614645378
"4433";"g.SLC43A3";"p.BECN1";0,567406381285248
"2322";"g.FUT8";"p.ASNS";-0,567306349188504
"5761";"g.C4orf34";"p.CDK1";-0,567301410050924
"27598";"g.LIMD2";"p.GO:0007165";-0,56718834133296
"4448";"g.FMNL2";"p.BECN1";0,566612227683918
"1712";"g.FMNL2";"p.ANLN";0,566369420882612
"8911";"g.ARL4C";"p.ESR1";-0,566353735757713
"6646";"g.ZNF552";"p.CHEK2";-0,566148788064756
"25174";"g.CSRP2";"p.GO:0000122";-0,566057694551737
"22825";"g.KDM4B";"p.MYC";-0,565888009936867
"709";"g.KDM4B";"p.ARAF";-0,565687122446524
"25122";"g.FUT8";"p.GO:0000122";0,56567746981709
"2453";"g.MEX3A";"p.ASNS";0,565489586632135
"14460";"g.LYN";"p.CDH3";0,56515993774138
"7330";"g.ZNF552";"p.CCNB1";-0,564791271637361
"26509";"g.C4orf34";"p.GO:0006366";0,564074766535157
"6418";"g.ZNF552";"p.CHEK1";-0,563882664968354
"27609";"g.KIF13B";"p.GO:0007165";0,563731233150916
"7399";"g.TTC39A";"p.CCNB1";-0,56334474748244
"8896";"g.FAM63A";"p.ESR1";0,563298755292151
"14529";"g.PREX1";"p.CDH3";-0,563176534007733
"25238";"g.NCOA7";"p.GO:0000122";-0,56308094408924
"27813";"g.GO:0045892";"p.GO:0007165";0,562904614628877
"16324";"g.CCNA2";"p.AKT1S1";0,562623175124942
"7813";"g.C4orf34";"p.CCNE1";-0,56249600916814
"16213";"g.KDM4B";"p.AKT1S1";-0,561966297762609
"10197";"g.PREX1";"p.GATA3";0,561805248694759
"4393";"g.C4orf34";"p.BECN1";-0,561785317099313
"5928";"g.GO:0046777";"p.CDK1";0,561621309494471
"26476";"g.MED13L";"p.GO:0006366";0,561525552831807
"6832";"g.GO:0018108";"p.CHEK2";0,561478311849708
"31012";"g.FAM63A";"p.GO:0045944";0,561151429776994
"1824";"g.GO:0046777";"p.ANLN";0,561108702758092
"7777";"g.KDM4B";"p.CCNE1";-0,560848483974321
"2321";"g.ASF1B";"p.ASNS";0,560404471335218
"2421";"g.NCAPG2";"p.ASNS";0,560209510019845
"25104";"g.ASPM";"p.GO:0000122";-0,560111163025216
"7905";"g.LMO4";"p.CCNE1";0,559777546281758
"23144";"g.FMNL2";"p.EEF2";0,559389618673563
"16406";"g.GO:0016032";"p.AKT1S1";0,559384464388648
"2342";"g.LRIG1";"p.ASNS";-0,559291587633856
"8934";"g.FUT8";"p.ESR1";0,5589246017827
"25153";"g.STC2";"p.GO:0000122";0,558720884604767
"24420";"g.ASPM";"p.TP53";0,558601249664222
"26606";"g.NCOA7";"p.GO:0006366";-0,557821635847563
"2475";"g.SEMA3C";"p.ASNS";-0,557810053031741
"14465";"g.SLC43A3";"p.CDH3";0,557430058031432
"6409";"g.KDM4B";"p.CHEK1";-0,557253830527975
"14425";"g.C4orf34";"p.CDH3";-0,55719213884808
"31236";"g.GO:0046777";"p.GO:0045944";-0,556735381357784
"15960";"g.GO:0046777";"p.PRKCD";0,55669498537424
"20520";"g.GO:0046777";"p.TGM1";0,555760124464804
"1699";"g.TTC39A";"p.ANLN";-0,555558663165457
"14301";"g.PREX1";"p.NOTCH1";-0,555553882234795
"13249";"g.KDM4B";"p.ERRFI1";-0,555440518022586
"2374";"g.CSRP2";"p.ASNS";0,555312561876005
"31161";"g.LMO4";"p.GO:0045944";-0,555116753805851
"16408";"g.GO:0018108";"p.AKT1S1";0,555078542635388
"25300";"g.GO:0018108";"p.GO:0000122";-0,555021768939513
"4428";"g.LYN";"p.BECN1";0,554868838708508
"14517";"g.LMO4";"p.CDH3";0,55454550474111
"20089";"g.KDM4B";"p.SYK";-0,554263748532392
"31170";"g.RUNX3";"p.GO:0045944";-0,554124617845464
"27754";"g.PLAUR";"p.GO:0007165";-0,553455101360261
"15848";"g.FMNL2";"p.PRKCD";0,553389882039112
"25176";"g.LYN";"p.GO:0000122";-0,553389493603051
"22834";"g.ZNF552";"p.MYC";-0,55332548368937
"4552";"g.GO:0018108";"p.BECN1";0,55217464743399
"24497";"g.SLC43A3";"p.TP53";0,552104751299063
"15538";"g.ZNF552";"p.PRKCA";-0,551793492249219
"23131";"g.TTC39A";"p.EEF2";-0,551790489223708
"4435";"g.TTC39A";"p.BECN1";-0,551376725321459
"21001";"g.KDM4B";"p.XBP1";-0,551100155018519
"20326";"g.ZNF552";"p.TGM1";-0,550911896560216
"5742";"g.FUT8";"p.CDK1";-0,550478302308728
"4485";"g.LMO4";"p.BECN1";0,550364240775429
"14364";"g.GO:0046777";"p.NOTCH1";0,550268894735543
"23089";"g.C4orf34";"p.EEF2";-0,550159770766941
"14480";"g.FMNL2";"p.CDH3";0,550025581126629
